,,Achievement_Oriented,Adaptable,Analytical_Thinking,Assertive,Competitive,Creative,Dependability,Detail_Oriented,Energetic,Influencing,Initiative,Learning_Orientation,Methodical,Optimism,Persistence,Rule_Follower,Self_control,Team_Oriented,Stress_Tolerance,Cooperation,Concern_for_Others,Multitasking,Mindful,Principled,Engageable,Social_Desirability,Patience,Though_mind,Sincerity,Sociability,Hexaco
21,Achievement_Oriented,1,0.519372561,0.482972458,0.715254871,0.523551897,0.619794294,0.762884975,0.705931094,0.698250446,0.634620561,0.851806578,0.732990824,0.530342505,0.702834703,0.826731117,0.190316315,0.562003836,0.378938994,0.488483768,0.359903636,0.728422783,0.666814134,0.52937594,0.5858568,0.752369258,0.368787954,0.453908706,0.300267913,0.269203744,0.508974996,0.31763235
8,Adaptable,0.519372561,1,0.174980686,0.519214093,0.43240477,0.567375643,0.320420732,0.261354938,0.483594206,0.495612044,0.489325648,0.365905542,0.002523734,0.661172105,0.5262656,-0.222611085,0.302232541,0.482153099,0.48786829,0.299511366,0.475907017,0.64832242,0.274169887,0.237909923,0.467668348,0.288994727,0.381977448,0.274642865,0.083320613,0.604818346,0.157875197
10,Analytical_Thinking,0.482972458,0.174980686,1,0.314080112,0.061072973,0.293647866,0.546533843,0.614705461,0.254076771,0.200343387,0.458081532,0.686666354,0.484888237,0.356469962,0.481219428,0.547927921,0.55689615,0.26349092,0.351256843,0.433880183,0.53039803,0.239501248,0.57809121,0.523477146,0.389397891,0.275972931,0.40268017,-0.078675796,0.388445865,0.200996673,0.590605721
20,Assertive,0.715254871,0.519214093,0.314080112,1,0.698465467,0.693064689,0.674516027,0.596494856,0.67835057,0.830721861,0.75478076,0.611654244,0.520143028,0.703919811,0.775997821,0.006429349,0.497930792,0.470358787,0.463762752,0.400747623,0.647442475,0.557174724,0.299865501,0.601209884,0.714132588,0.341882456,0.31951071,0.568090876,0.242019434,0.586039985,0.117492025
11,Competitive,0.523551897,0.43240477,0.061072973,0.698465467,1,0.607327699,0.443151745,0.400520631,0.587422662,0.757570608,0.538616363,0.324042922,0.298678884,0.507612597,0.584006569,-0.221677721,0.360926662,0.412297111,0.211552836,0.231686172,0.404794106,0.430064063,0.018303752,0.274408194,0.524037667,0.27062716,0.125892923,0.632180006,-0.076226783,0.497937523,-0.21971115
16,Creative,0.619794294,0.567375643,0.293647866,0.693064689,0.607327699,1,0.540647077,0.542281149,0.584090392,0.729208805,0.656074757,0.596161174,0.295955563,0.588887672,0.635969643,-0.104142269,0.489235978,0.450286903,0.360079137,0.32500951,0.616728781,0.487666407,0.147168418,0.461941009,0.591396399,0.25888929,0.357391069,0.533145499,0.088139028,0.468984922,0.110253124
18,Dependability,0.762884975,0.320420732,0.546533843,0.674516027,0.443151745,0.540647077,1,0.762256667,0.594771432,0.601703761,0.809901776,0.746843083,0.604471304,0.576096458,0.784143437,0.358862465,0.679081938,0.339228532,0.4174683,0.400279541,0.68193153,0.463606009,0.54188534,0.640847232,0.68322604,0.294117067,0.315253061,0.32670072,0.304431656,0.380498289,0.295858538
18,Detail_Oriented,0.705931094,0.261354938,0.614705461,0.596494856,0.400520631,0.542281149,0.762256667,1,0.570023513,0.520054419,0.733684313,0.740055791,0.632988154,0.584163995,0.716675609,0.419197748,0.567443249,0.296696575,0.418129201,0.376066069,0.684964109,0.386957682,0.512534692,0.615508092,0.647592535,0.285367831,0.46897349,0.228939509,0.308497702,0.300770271,0.381662314
16,Energetic,0.698250446,0.483594206,0.254076771,0.67835057,0.587422662,0.584090392,0.594771432,0.570023513,1,0.66675246,0.722913763,0.472479539,0.451905684,0.653461909,0.690422323,-0.013736644,0.514061712,0.344304119,0.533689983,0.308106524,0.567475271,0.592950499,0.337052517,0.417869867,0.668760066,0.32792171,0.45141953,0.430503714,0.131948926,0.496935238,0.048992054
18,Influencing,0.634620561,0.495612044,0.200343387,0.830721861,0.757570608,0.729208805,0.601703761,0.520054419,0.66675246,1,0.707743521,0.507822593,0.414992144,0.670150485,0.691111594,-0.112333673,0.486690841,0.525901064,0.413911409,0.349781733,0.613852306,0.543408054,0.178227863,0.449526606,0.64943744,0.281277058,0.277207678,0.61429583,0.063577681,0.624419347,0.012376085
19,Initiative,0.851806578,0.489325648,0.458081532,0.75478076,0.538616363,0.656074757,0.809901776,0.733684313,0.722913763,0.707743521,1,0.708219769,0.547968787,0.708102341,0.841585186,0.193100005,0.631907847,0.356194342,0.558586114,0.344244278,0.681773865,0.618715998,0.497768239,0.621439723,0.726072256,0.363980752,0.406673188,0.40729247,0.251552852,0.470069909,0.242839477
18,Learning_Orientation,0.732990824,0.365905542,0.686666354,0.611654244,0.324042922,0.596161174,0.746843083,0.740055791,0.472479539,0.507822593,0.708219769,1,0.580589989,0.558327157,0.73741844,0.424503386,0.592460449,0.386349866,0.345286977,0.467025842,0.763436753,0.423488313,0.610271517,0.639799164,0.642862593,0.342913275,0.439881927,0.187723594,0.335784445,0.424304457,0.507764643
8,Methodical,0.530342505,0.002523734,0.484888237,0.520143028,0.298678884,0.295955563,0.604471304,0.632988154,0.451905684,0.414992144,0.547968787,0.580589989,1,0.359751733,0.564826528,0.465011607,0.435460845,0.159337304,0.2466394,0.243160631,0.437354231,0.240375303,0.410788744,0.477340905,0.478518661,0.24603588,0.247075016,0.218554118,0.284250131,0.183018205,0.232433969
20,Optimism,0.702834703,0.661172105,0.356469962,0.703919811,0.507612597,0.588887672,0.576096458,0.584163995,0.653461909,0.670150485,0.708102341,0.558327157,0.359751733,1,0.729640226,0.085328461,0.492807635,0.515342202,0.669293928,0.423473365,0.668523273,0.618264243,0.445844545,0.46218584,0.731000554,0.361887232,0.520543679,0.283081753,0.272316912,0.651602963,0.336685555
22,Persistence,0.826731117,0.5262656,0.481219428,0.775997821,0.584006569,0.635969643,0.784143437,0.716675609,0.690422323,0.691111594,0.841585186,0.73741844,0.564826528,0.729640226,1,0.190700876,0.612703814,0.435654285,0.547728758,0.372088483,0.702372922,0.582331029,0.514235972,0.631333149,0.749743196,0.382890042,0.456994403,0.397432362,0.273951906,0.517877196,0.278258924
3,Rule_Follower,0.190316315,-0.222611085,0.547927921,0.006429349,-0.221677721,-0.104142269,0.358862465,0.419197748,-0.013736644,-0.112333673,0.193100005,0.424503386,0.465011607,0.085328461,0.190700876,1,0.212383368,-0.005307376,0.083620762,0.211987489,0.264979637,-0.040518323,0.49824056,0.272287535,0.171516621,0.166594829,0.150684792,-0.361595297,0.313713647,-0.020268514,0.517764136
11,Self_control,0.562003836,0.302232541,0.55689615,0.497930792,0.360926662,0.489235978,0.679081938,0.567443249,0.514061712,0.486690841,0.631907847,0.592460449,0.435460845,0.492807635,0.612703814,0.212383368,1,0.285916101,0.503133011,0.306171446,0.547266153,0.355817322,0.391338397,0.460366875,0.481439459,0.23056259,0.377540861,0.262287966,0.150362186,0.288241887,0.182607866
6,Team_Oriented,0.378938994,0.482153099,0.26349092,0.470358787,0.412297111,0.450286903,0.339228532,0.296696575,0.344304119,0.525901064,0.356194342,0.386349866,0.159337304,0.515342202,0.435654285,-0.005307376,0.285916101,1,0.268941421,0.705758991,0.623085989,0.451172667,0.214684903,0.343613153,0.498244736,0.185292208,0.392302377,0.128321101,0.034175954,0.711759518,0.297188163
7,Stress_Tolerance,0.488483768,0.48786829,0.351256843,0.463762752,0.211552836,0.360079137,0.4174683,0.418129201,0.533689983,0.413911409,0.558586114,0.345286977,0.2466394,0.669293928,0.547728758,0.083620762,0.503133011,0.268941421,1,0.281074917,0.411715017,0.498948243,0.449004018,0.390789782,0.419957501,0.327053202,0.51190795,0.141270482,0.30175827,0.397446894,0.294316924
4,Cooperation,0.359903636,0.299511366,0.433880183,0.400747623,0.231686172,0.32500951,0.400279541,0.376066069,0.308106524,0.349781733,0.344244278,0.467025842,0.243160631,0.423473365,0.372088483,0.211987489,0.306171446,0.705758991,0.281074917,1,0.606755229,0.312267049,0.327112218,0.388270829,0.466096117,0.178687828,0.464586805,0.006720353,0.13282269,0.582973954,0.424080621
21,Concern_for_Others,0.728422783,0.475907017,0.53039803,0.647442475,0.404794106,0.616728781,0.68193153,0.684964109,0.567475271,0.613852306,0.681773865,0.763436753,0.437354231,0.668523273,0.702372922,0.264979637,0.547266153,0.623085989,0.411715017,0.606755229,1,0.5412592,0.488715647,0.597370115,0.690802815,0.338061739,0.584153165,0.173682686,0.225260205,0.610807362,0.459770872
12,Multitasking,0.666814134,0.64832242,0.239501248,0.557174724,0.430064063,0.487666407,0.463606009,0.386957682,0.592950499,0.543408054,0.618715998,0.423488313,0.240375303,0.618264243,0.582331029,-0.040518323,0.355817322,0.451172667,0.498948243,0.312267049,0.5412592,1,0.350671885,0.340658674,0.514315314,0.305762112,0.381894577,0.26098115,0.120542562,0.569642258,0.171212546
8,Mindful,0.52937594,0.274169887,0.57809121,0.299865501,0.018303752,0.147168418,0.54188534,0.512534692,0.337052517,0.178227863,0.497768239,0.610271517,0.410788744,0.445844545,0.514235972,0.49824056,0.391338397,0.214684903,0.449004018,0.327112218,0.488715647,0.350671885,1,0.469423893,0.486472089,0.319937373,0.366094181,-0.148252557,0.429131234,0.325874324,0.581877699
11,Principled,0.5858568,0.237909923,0.523477146,0.601209884,0.274408194,0.461941009,0.640847232,0.615508092,0.417869867,0.449526606,0.621439723,0.639799164,0.477340905,0.46218584,0.631333149,0.272287535,0.460366875,0.343613153,0.390789782,0.388270829,0.597370115,0.340658674,0.469423893,1,0.517405672,0.195258857,0.339127855,0.302023003,0.490113891,0.258974723,0.382508069
17,Engageable,0.752369258,0.467668348,0.389397891,0.714132588,0.524037667,0.591396399,0.68322604,0.647592535,0.668760066,0.64943744,0.726072256,0.642862593,0.478518661,0.731000554,0.749743196,0.171516621,0.481439459,0.498244736,0.419957501,0.466096117,0.690802815,0.514315314,0.486472089,0.517405672,1,0.310668053,0.437066669,0.296203297,0.24052115,0.576470999,0.30975474
1,Social_Desirability,0.368787954,0.288994727,0.275972931,0.341882456,0.27062716,0.25888929,0.294117067,0.285367831,0.32792171,0.281277058,0.363980752,0.342913275,0.24603588,0.361887232,0.382890042,0.166594829,0.23056259,0.185292208,0.327053202,0.178687828,0.338061739,0.305762112,0.319937373,0.195258857,0.310668053,1,0.277759771,0.031166943,0.151098937,0.315556473,0.26393528
4,Patience,0.453908706,0.381977448,0.40268017,0.31951071,0.125892923,0.357391069,0.315253061,0.46897349,0.45141953,0.277207678,0.406673188,0.439881927,0.247075016,0.520543679,0.456994403,0.150684792,0.377540861,0.392302377,0.51190795,0.464586805,0.584153165,0.381894577,0.366094181,0.339127855,0.437066669,0.277759771,1,-0.007908599,0.259105975,0.459041604,0.42207672
5,Though_mind,0.300267913,0.274642865,-0.078675796,0.568090876,0.632180006,0.533145499,0.32670072,0.228939509,0.430503714,0.61429583,0.40729247,0.187723594,0.218554118,0.283081753,0.397432362,-0.361595297,0.262287966,0.128321101,0.141270482,0.006720353,0.173682686,0.26098115,-0.148252557,0.302023003,0.296203297,0.031166943,-0.007908599,1,0.005611715,0.188314588,-0.454384936
1,Sincerity,0.269203744,0.083320613,0.388445865,0.242019434,-0.076226783,0.088139028,0.304431656,0.308497702,0.131948926,0.063577681,0.251552852,0.335784445,0.284250131,0.272316912,0.273951906,0.313713647,0.150362186,0.034175954,0.30175827,0.13282269,0.225260205,0.120542562,0.429131234,0.490113891,0.24052115,0.151098937,0.259105975,0.005611715,1,0.080504146,0.497362019
12,Sociability,0.508974996,0.604818346,0.200996673,0.586039985,0.497937523,0.468984922,0.380498289,0.300770271,0.496935238,0.624419347,0.470069909,0.424304457,0.183018205,0.651602963,0.517877196,-0.020268514,0.288241887,0.711759518,0.397446894,0.582973954,0.610807362,0.569642258,0.325874324,0.258974723,0.576470999,0.315556473,0.459041604,0.188314588,0.080504146,1,0.315754573
5,Hexaco,0.31763235,0.157875197,0.590605721,0.117492025,-0.21971115,0.110253124,0.295858538,0.381662314,0.048992054,0.012376085,0.242839477,0.507764643,0.232433969,0.336685555,0.278258924,0.517764136,0.182607866,0.297188163,0.294316924,0.424080621,0.459770872,0.171212546,0.581877699,0.382508069,0.30975474,0.26393528,0.42207672,-0.454384936,0.497362019,0.315754573,1
